text,star
"촬영 장소? 스케일? 다른 거 다 필요 없다. 최고의 배우들이 자그마한 식탁 위에서 최상의 요리를 만들어냈다. 어떠한 양념, 조미료도 필요하지 않았다.  ",10
저게우리였으면  아무한테도연락안와서 밥만먹고끝났을듯 ㅜ ㅜ  ,10
관람객사람의 본심은 월식과 같아서 언젠가 드러나는 법  ,10
다른 의미로 공포 영화.  ,8
올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다.  ,10
57세 키티는 최고!! 간만에 배아프게 웃으며 봤습니다 ^^  ,10
관람객간만에 극장에서 다 같이 웃는 경험 한거 같아요 ㅋㅋㅋㅋ 웃음 포인트도 많고 소름돋는 포인트도 있어서 재밌었어요 ㅋㅋㅋ 핸드폰이 누구나 쓰는 물건이라서 더 공감가는 것 같습니당 추천해요  ,10
서로를 잘 모르기에 함께 살 수 있는 우리들  ,10
윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네  ,10
요즘 망해가는 한국영화들중에 젤만족스러웠다 막장같은 스토리임에도 깔끔한연출과 배우들의 미친 연기력땜에 쫄리면서도 계속웃겨서쉴틈을 안줌 ㅋㅋㅋ  ,10
고오급 드립의 향연 속에서의 배우들의 편안한 연기에 매료되어 빵 터지기도 했다가 간 쫄리기도 했다가 관중을 들었다 놨다 아주 미친 영화  ,10
"명배우들 대사 핑퐁이 그렇게 신나고 재밌는 줄 몰랐다.역시 프로들은 다른가보다, 마치 올림픽 탁구 경기를 보는 느낌이였다.  ",10
음향감독님 칭찬은 없네요ㅠㅠ 이서진 벨소리 울릴때마다 심장 쫄렸는데  ,10
제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다.  ,10
"관람객유해진, 염정아 연기 대박 입니다 액션 공포물도 아닌데 이렇게 긴장되면서 웃기면서 몰입되다니 대박.  ",10
꿀잼 허니잼 !!조진웅씨랑 결혼하고싶은생각이 드는영화 ㅠ 강추  ,10
관람객유해진은 진또배기 배우다 ㅋㅋ진짜 개재밋음ㅋㅋ  ,10
35라고 생각했지 57은 정말 생각도 못 했다.  ,10
"게임을 한 후, 하기전 어떤것이 최선의 선택인지 아직도 모르겠다  ",10
관람객아침부터 엄청 웃었음ㅋㅋ 올해 본 영화중에 젤 재밌고~~ 이야기가 깊어요~~~ 이게 영화지!!!  ,10
오랜만에 만나는 웰메이드 영화.  ,10
별 10개줘도 아깝지 않음 이서진 오랜만에 영화 굳이엇음  ,10
염정아 연기 진짜 미쳤다ㅠㅠ...개인적으로 연기 정말 잘한다고 생각하는 배우 연기 스펙트럼 정말 넓다  ,10
"관람객방금 보고 나와 씁니다. 시나리오 좋고 지루할 틈이 없이 2시간동안 빵빵터지네요^^ 관객들이 다같이 박수치고 웃느라 난리~ㅋ영화보기전에 줄거리 검색하지 마시고, 친구보다는 남편과 같이 보시라고 추천합니다.올해 가장 기억에 남는 영화였습니다.  ",10
누구든 남들에겐 보이기 싫은 비밀이 있고 그게 드러날까 조마조마하는 마음. 영화 보는 내내 나도 불편한 마음을 느꼈다. 극화시킨 느낌은 있지만 볼만했고 인간관계나 사람의 본심에 대해 생각하게 하는 영화.  ,10
"'재미있으면 공감,재미없으면 비공감'이런거 안따지고   강추!  유해진너무웃김ㅋㅋㅋㅋ  ",8
갑자기  아이폰 사파리 검색기록을 지워야겠다는 생각이 문득 들었다.  ,10
관람객재밌는데 끝나고 나면 기분나쁜 영화..  ,8
관람객무서운데 웃김ㅋㅋㅋㅋ 이 한마디로 다 정리됨ㅋㅋㅋㅋ 스릴러 뺨치는 코미디영화임ㅋㅋㅋ  ,10
관람객보고 뜨끔하는사람 많을거같아요.  ,7
오랜만에 재미있는 영화였습니다.  ,10
관람객예고편만으로는 진짜 이렇게 웃길줄 몰랐는데 ㅋㅋㅋㅋ진짜 기대한만큼 만족했어요!! 극장에서도 사람들 다 같이 웃고ㅋㅋ 조마조마하면서도 유쾌했던 영화!!  ,10
인간관계의 모든것...진짜 너무 적나라하다ㅜ  ,10
와~~ 인간관계대한 묘사를 너무 잘 하시네요.  영화속 영배역할 대사가 공감백배 연기도 잘하시고 멋진 배우이시고 강력 추천입니다!!!  ,10
저게 현실이라면 결혼하면 안되겠다  ,2
여자친구랑 보지마세요  ,2
내 웃음 포인트가 남들과 다른가? 코미디 영화를 보고 싶었는데 오히려 이 영화 보고 나니 기분이 다운됨. 중간 중간 웃기는부분은 있지만 전체적으로 심각한 상황이라 웃음이 안 나옴.  ,4
사람들은 세가지삶을 가지고있다  ,10
개그적인 요소때매 웃긴 부분은 많음. 하지만 내용이 불쾌해요. 먼저 평점남기신 분 말마따나 남자들의 더러운 뒷얘기를 듣는기분.  ,5
"웃긴장면이 있는거지, 웃기거나 재밌는 영화는 아닌듯  ",1
관람객겁나 웃긴데 보고 나서 진지하게 고민해보면 호러가 따로 없다 ㅋㅋㅋㅋ 배우들 연기 다 쩔고 나는 염정아하고 윤경호가 특히 좋았음! N차각이다  ,10
오션스 일레븐 같은 라인업으로 느껴지는 영화! 인물들의 주고 가는 드립과 찰진 리액션들이 볼만해서 시간가는줄 몰랐어요  ,10
2시간 동안 가정이 파탄나는 꼴만 봤음 참 찝찝하고 불편하고 기분 안좋았던 영화  ,1
기발하고 신나게 웃을 수 있고 매우 재밌다!  ,10
진짜 기대 이상.. 혼영하기에 딱 좋은영화입니다!!!!배우들 연기력도 진짜 몰입도 장난아님!!강추합니다!!!  ,10
관람객방금 보고 나왔어용! 핸드폰은 누구나 다 쓰는거다보니 더 공감되고 재밌었던거같아요ㅋㅋㅋ 배우들 연기만으로도 진짜 충분히 안아까웠던 영화에요~~  ,10
남자들의 우정이란게 이런건지 수준낮은 영화  ,1
재밌게보았습니다ㅋㅋ  ,10
"판타지는 잠시 접어두고 인간의 이면과 본성을 위트있게 드러낸 영화. 관계에 대해 생각할거리를 많이 던져줍니다. 명대사도 아주 많아요. 올해 처음으로 만족스러웠던 한국영화, 한번 더 보러가려고요. 배우들의 연기력이야 뭐 말할것도 없이 몰입도도 짱  ",10
관람객방금 보고 나왔는데  모닝 폭소 오지게 하다 나왓음ㅋㅋ간만에  완벽 그 자체 코미디 ㅋㅋㅋ  ,9
리얼을 피했는데 이걸 못피했네  ,1
김지운씨 요새 집에 우환있으세요?? 장화홍련  놈놈놈 영화 좀 괜찮게 만드시다 왜 이러세요?? 뭐  비트코인하셨어요??  ,1
정말 지루하고 말도안되는 스토리  ,1
진짜ㄹㅇ로재미가없음  ,1
분명 댓글알바 있다고 본다 ㅋㅋㅋ 봐라 영화  내만 죽을수없다 ㅋㅋㅋ  ,1
망작이라고 들어봤나.  ,2
잠들라고하면 총소리남.  ,1
골든슬럼버에 이어서  강동원-한효주 조합은 망작 진리인게 판명됐다  ,1
아 팝콘 너무 맛있다. 팝콘에 집중이 되네  ,4
강동원 요즘따라 고르는 작품마다 왜그러냐....한효주랑 되도록이면 안엮이는게 좋을듯  ,1
아이언맨도 저거보단 빨리 죽겠다 ㅋㅋㅋ 한쪽은 무적슈트 입었는데 양복입은 애들이 떼거지로 몰려들면 잘도 죽이겠네겨우 두 번 만나놓고 10년지기 연인처럼 애틋한 로맨스 끼워넣기는 덤  ,2
진짜 재미없다; 아무리 봐줘도 6점이상은 알바라고 본다;  ,1
마이너스 점수는 왜 존재하지 않는가?  ,1
한국인이면 미션임파서블 보자  ,1
리얼  하고 삐까 친다. 레알  ,1
김지운 감독은 이 영화로  20년 동안 쌓아온 공든 탑이 와르르  ,1
왜이렇게 욕먹는지 모르겠네 난 액션씬 짜릿해서 좋았고 원작이랑 연결되는 빨간망토 인상깊었음  ,10
액션’만’ 좋았다. 원작 대사를 그대로 가지고 온건지 너무나도 오그라드는 부분이 많았고. 빨간두건 이야기를 들려주는 부분은 너무나도 아마추어 같았다. 이 부분만 좀더 잘 표현했다면 이해안되는 멜로도 좀더 나아지지 않았을까  ,1
노잼  입니다 ㅡ.ㅡ    핵노잼  ,1
중학생이 sf시나리오 쓴걸 수정 없이 그냥 다 담아낸 영화내용도 이상하고 연관성도 없고 뭐 하나 제대로 된거 없음  ,1
"어제 시사회로 봤는데 영화 끝나고 관람객 다 같이 한숨 쉬고. 뜬금없이 강동원,한효주 연애물 찍을때부터 망한느낌이 들었구요. 시사회로 봤는데도 돈이 아까웠어요.. 영화가 재미없는걸 떠나서 무슨내용인지를 하나도 모르겠어요. 올해 봤던 영화중 최악이에요.  ",1
관람객기대작 한편이 날라갔다  ,5
관람객왜 둘이 그렇게 애틋한 사이가 되었는지 설명해 줄 사람 구함.  ,1
어제 시사회에 다녀와서 하루 일찍보았네요. 권력이 암투를 이야기하면서 이야기를 풀어갔지만 남북통일을 앞둔 상황이라는 스토리에 개연성이 느껴지진않았습니다. 타워액션씬등은 눈에 좋았습니다.  ,7
관람객멜로가 없었으면 더 좋았을듯.... 각인(?)된 늑대의 모습을 노린 느낌인데 그게 좀 어색했다. 그외 전반적인 액션신은 아름답다.  ,10
보통 개봉하고 한 일주일은 알바들 평점으로 버티는데 하루만에 반토막나네 ㅋㅋㅋ시사회 보고온 친구가 절대 보지 말라고 홍보하고 다니던데 ㅋㅋㅋㅋ  ,1
"시사회보고왔습니다.발음문제인지 오디오문제인지 뭔말하는지 안들리는 점액션은 아저씨보다 구리고, 마녀보다도 구립니다진심 액션이 좋다는 분들 영화 첨보시나봐요이게 근미래의 액션입니까총가지고 근접해서 총뺏기고 쳐맞는게과연 훈련된 자들의 싸움인지  ",2
"미장센과 아름다룬 색감, 그리고 스타일리쉬한 액션신까지. 김지운 감독에게 원한 모든 것을 대부분 만족시켜준 영화. 8점이 적당해보이는 데 별점 테러 감안해 1점 올려봄.  ",9
액션신이 정말 잘빠졌고 개인적으로 아쉬운 점은 멜로부분이 빠졌으면 더 스토리상 이해도 잘가고 집중도 높았을듯 재밌었음  ,10
예맨 난민들 출연안해서 1점 줍니다  ,1
와..진짜 알바많네 원작응 말아먹은 수준이 아니라 모욕하는 수준의 영환데 사람들이 속을거같냐jQuery22408587704968788344_1532491616033 그리고 통일통일 외치는 것들이 시위 폭력 써대지 영화는 거꾸로 만들어놨네 ㅋㅋ개빨갱이 영화같으니라고  ,1
관람객이런 액션을 한국영화에서 볼 수 있다니!! ㅠㅠ  ,10
난생처음 영화보다가 튀쳐나온 영화 골든슬럼버도 버텼는데 못버티겠더라구요...  ,1
비주얼로는 깔 수가 없다 배우들 좋아하시고 눈호강 하시려면 보세요  ,10
"독특하고화려한액션씬,김지운감독특유분위기연출에 각배우가 잘어울리는옷을입은느낌을줘서전체적으로좋은시너지가 나온것같다. 원작자체 개연성이 그닥이라 이정도 각색이면 무난하지않나싶음. 배우들뿐아니라 영화자체 비주얼도최고였고, 별점테러당할정도는 절대 아니라고 생각  ",9
시사회 티켓 준 누나한테 잠시나마 원망했다. 미안해요  ,1
아 내 돈 ㅜㅠ올해 들어 최악의 선택이었다 차라리 그 돈으로 삼계탕 사먹으면 아깝지나 않지 ㅜㅠ  ,1
28년 살며 본 영화 키스씬중 제일 불편했습니다.  ,5
인랑 실사화 정말 잘 만들었음 ~! 액션 진짜 멋있네 잼있게 봤음!!!  ,10
왜 여전히 이런 영화가 만들어지는지 이해할 수 없었다.  ,1
"침묵하는 평론가들 , 긴장하는 영화 관계자들  ",4
불면증 있는 분들 추천해드리고요 난 중국영화인줄 알았어요  ,1
방금조조보고 왔습니다 <놈놈놈><악마를보았다> 등등에서 보여준 김지운감독 특유의 세련된 미장센이 돋보였고 배우들 연기또한 좋습니다. 인랑 원작감독도 극찬했다고하는데. 별점테러따위 믿지말고 꼭보세요.  ,10
아 미션 시간만 맞았어도 피할 수 있었는데 ㅠ  ,1
정우성하고 난민하고 빨리 사라졌으면.. 합니다.  ,1
영화보다보니 너무조용해 주위를둘러보니 다들딥슬립 저또한 너무졸렸습니다 액션하다 멜로부분에서 다들주무시네요 그만큼 지루했습니다 뭘주고자하는지모르겠는내용;; 배우들은 너무멋지고 연기도좋은데 내용..노답  ,2
강동원은 영화 고르는 안목을 좀 더 키워야겠네요..골든머시기부터 이게 대체 먼지..  ,3
2029년이라면서 아무리  나라가 하 수상해도 그렇지 촛불혁명을 평화롭게 이뤄낸 우리가 화염병을 던지며 시위를 한다는 설정부터 어이없고요.  무슨 70~80년대 시대극인줄. 시나리오 진짜 별로예요.  ,2
하 돈아깝다 10자 적을것도 없네  ,2
"201.8년도에 나온 미래영화라고는 생각할수없는 촌스러움. 익숙하고 오래된, 그리고 안이한 시나리오에 화가난다  ",3
